DATOS HORARIOS GENERADOS CON EL EXPLORADOR DE ENERGIA SOLAR PARA UN ANIO METEOROLOGICO TIPICO
""
-----------------------------------------------------------------------------------------
DESCRIPCION,Datos para la evaluacion de la radiacion solar generados con un modelo de transferencia radiativa
VERSION DEL MODELO,2.0
FUENTE,Ministerio de Energia / Departamento de Geofisica Universidad de Chile
CONTACTO,ernc@dgf.uchile.cl
-----------------------------------------------------------------------------------------
""
CARACTERISTICAS DEL SITIO
NOMBRE DEL SITIO,S1
LATITUD,-33.437520231714416
LONGITUD,-70.62644086527894
ALTURA,591.0
""
-----------------------------------------------------------------------------------------
PERIODO DE DATOS
FECHA INICIAL,2004-01-01 00:00:00
FECHA FINAL,2016-12-18 23:00:00
INTERVALO,60 minutos
METODO DE CALCULO,Promedio de valores instantaneos cada 10 minutos
""
-----------------------------------------------------------------------------------------
VARIABLES INCLUIDAS
""
VARIABLE,UNIDAD,DESCRIPCION
glb,W/m2,Radiacion Global
dir,W/m2,Radiacion Directa
dif,W/m2,Radiacion Difusa
sct,W/m2,Radiacion Difusa Reflejada
ghi,W/m2,Radiacion Global Horizontal
dirh,W/m2,Radiacion Directa
difh,W/m2,Radiacion Difusa
dni,W/m2,Radiacion Directa Normal
temp,C,Temperatura en 2 metros (Corejida)
vel,m/s,Velocidad de Viento
shadow,0 = Sin; 1 = Con (inc. la noche);,Presencia de sombras debido a la topografia
cloud,"1=Si, 0=No",Presencia de nubes
""
-----------------------------------------------------------------------------------------
""
Fecha/Hora,glb,dir,dif,sct,ghi,dirh,difh,dni,temp,vel,shadow,cloud
2007-01-01 13:00:00,1036.69,917.22,98.48,20.99,1084.20,977.08,107.12,995.00,30.05,3.51,0.00,0.00
2007-01-01 14:00:00,980.88,865.05,95.78,20.06,1036.10,931.92,104.18,987.41,29.39,3.44,0.00,0.00
2007-01-01 15:00:00,857.81,749.99,89.80,18.01,930.46,832.78,97.68,972.88,28.34,3.49,0.00,0.00
2007-01-01 16:00:00,676.48,580.84,80.66,14.98,773.80,686.06,87.74,946.90,27.00,3.20,0.00,0.00
2007-01-01 17:00:00,453.57,373.79,68.58,11.20,578.36,503.76,74.60,902.27,25.84,2.78,0.00,0.00
2007-01-01 18:00:00,213.13,152.88,53.30,6.95,359.22,301.24,57.98,816.87,24.08,1.94,0.00,0.00
2007-01-01 19:00:00,35.66,0.00,32.93,2.73,140.78,104.96,35.82,622.31,22.34,1.32,0.00,0.00
2007-01-01 20:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.94,0.74,1.00,0.00
2007-01-01 21:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.92,0.55,1.00,0.00
2007-01-01 22:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.35,0.74,1.00,0.00
2007-01-01 23:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.45,0.74,1.00,0.00
2007-01-02 00:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.02,0.76,1.00,0.00
2007-01-02 01:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.58,0.55,1.00,0.00
2007-01-02 02:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.85,0.43,1.00,0.00
2007-01-02 03:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.05,0.36,1.00,0.00
2007-01-02 04:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.08,0.35,1.00,0.00
2007-01-02 05:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.76,0.13,1.00,0.00
2007-01-02 06:00:00,15.71,0.00,15.39,0.32,16.74,0.00,16.74,0.00,15.37,0.14,1.00,0.00
2007-01-02 07:00:00,91.38,43.18,43.50,4.69,242.26,194.94,47.32,748.80,17.18,0.59,0.00,0.00
2007-01-02 08:00:00,326.47,256.39,61.06,9.01,465.56,399.14,66.42,872.91,19.99,0.96,0.00,0.00
2007-01-02 09:00:00,565.23,477.19,74.91,13.13,678.24,596.76,81.48,936.01,22.74,1.44,0.00,0.00
2007-01-02 10:00:00,774.91,672.43,85.81,16.66,860.72,767.38,93.34,972.36,25.24,1.86,0.00,0.00
2007-01-02 11:00:00,934.38,821.42,93.64,19.32,998.10,896.24,101.86,993.97,27.31,2.33,0.00,0.00
2007-01-02 12:00:00,1027.36,908.41,98.09,20.86,1077.54,970.84,106.70,1003.56,28.62,2.80,0.00,0.00
2007-01-02 13:00:00,1047.87,927.60,99.07,21.20,1095.02,987.26,107.76,1005.53,29.57,3.32,0.00,0.00
2007-01-02 14:00:00,994.30,877.48,96.51,20.31,1049.22,944.24,104.98,1000.28,29.17,3.39,0.00,0.00
2007-01-02 15:00:00,871.00,762.18,90.55,18.27,943.66,845.16,98.50,986.82,28.22,3.36,0.00,0.00
2007-01-02 16:00:00,688.57,591.95,81.40,15.22,786.40,697.86,88.54,962.23,27.21,3.17,0.00,0.00
2007-01-02 17:00:00,463.31,382.67,69.23,11.41,589.42,514.12,75.30,919.40,25.86,2.69,0.00,0.00
2007-01-02 18:00:00,218.14,157.31,53.74,7.08,365.96,307.50,58.46,832.02,23.77,1.70,0.00,0.00
2007-01-02 19:00:00,35.99,0.00,33.21,2.79,143.90,107.78,36.12,635.79,21.47,0.98,0.00,0.00
2007-01-02 20:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.88,0.30,1.00,0.00
2007-01-02 21:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.72,0.14,1.00,0.00
2007-01-02 22:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.83,0.55,1.00,0.00
2007-01-02 23:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.90,0.57,1.00,0.00
2007-01-03 00:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.22,0.44,1.00,0.00
2007-01-03 01:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.66,0.39,1.00,0.00
2007-01-03 02:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.25,0.35,1.00,0.00
2007-01-03 03:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.76,0.47,1.00,0.00
2007-01-03 04:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.27,0.51,1.00,0.00
2007-01-03 05:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.28,0.24,1.00,0.00
2007-01-03 06:00:00,15.26,0.00,14.95,0.31,16.26,0.00,16.26,0.00,16.34,0.19,1.00,0.00
2007-01-03 07:00:00,90.97,42.67,43.56,4.73,244.50,197.12,47.38,764.10,19.10,0.51,0.00,0.00
2007-01-03 08:00:00,329.52,259.11,61.30,9.11,470.46,403.78,66.68,887.28,21.81,0.98,0.00,0.00
2007-01-03 09:00:00,569.86,481.45,75.18,13.23,683.56,601.78,81.78,946.48,24.50,1.44,0.00,0.00
2007-01-03 10:00:00,779.39,676.61,86.03,16.75,865.10,771.52,93.58,979.47,26.98,1.87,0.00,0.00
2007-01-03 11:00:00,937.68,824.49,93.81,19.38,1000.86,898.82,102.04,998.00,29.01,2.38,0.00,0.00
2007-01-03 12:00:00,1028.44,909.43,98.15,20.87,1077.82,971.06,106.76,1004.43,30.34,2.87,0.00,0.00
2007-01-03 13:00:00,1046.67,926.52,98.99,21.15,1092.74,985.06,107.68,1003.53,31.04,3.10,0.00,0.00
2007-01-03 14:00:00,991.19,874.62,96.35,20.23,1044.88,940.08,104.80,995.69,30.64,3.32,0.00,0.00
2007-01-03 15:00:00,866.63,758.18,90.30,18.15,937.70,839.48,98.22,979.67,29.86,3.24,0.00,0.00
2007-01-03 16:00:00,684.01,587.83,81.09,15.10,779.82,691.62,88.20,952.84,28.68,3.03,0.00,0.00
2007-01-03 17:00:00,459.54,379.34,68.91,11.29,582.96,508.00,74.96,907.28,27.18,2.63,0.00,0.00
2007-01-03 18:00:00,219.50,158.61,53.80,7.09,366.12,307.60,58.52,830.46,25.18,1.73,0.00,0.00
2007-01-03 19:00:00,36.26,0.00,33.43,2.83,146.38,110.02,36.36,646.38,22.90,0.98,0.00,0.00
2007-01-03 20:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21.45,0.42,1.00,0.00
2007-01-03 21:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.31,0.22,1.00,0.00
2007-01-03 22:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.27,0.54,1.00,0.00
2007-01-03 23:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.29,0.55,1.00,0.00
2007-01-04 00:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.47,0.38,1.00,0.00
2007-01-04 01:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.69,0.38,1.00,0.00
2007-01-04 02:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.06,0.34,1.00,0.00
2007-01-04 03:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.34,0.56,1.00,0.00
2007-01-04 04:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.63,0.70,1.00,0.00
2007-01-04 05:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.91,0.42,1.00,0.00
2007-01-04 06:00:00,14.57,0.00,14.27,0.30,15.52,0.00,15.52,0.00,17.39,0.23,1.00,0.00
2007-01-04 07:00:00,88.52,40.72,43.15,4.65,240.02,193.08,46.94,755.85,19.91,0.46,0.00,0.00
2007-01-04 08:00:00,326.64,256.60,61.01,9.03,466.40,400.04,66.36,883.28,22.92,0.97,0.00,0.00
2007-01-04 09:00:00,567.34,479.25,74.93,13.17,680.16,598.66,81.50,944.38,25.78,1.39,0.00,0.00
2007-01-04 10:00:00,777.91,675.38,85.83,16.70,862.86,769.50,93.36,978.65,28.59,1.75,0.00,0.00
2007-01-04 11:00:00,937.80,824.78,93.66,19.36,1000.18,898.30,101.88,998.60,30.75,2.22,0.00,0.00
2007-01-04 12:00:00,1029.89,910.96,98.06,20.88,1078.36,971.70,106.66,1005.79,32.20,2.72,0.00,0.00
2007-01-04 13:00:00,1049.23,929.09,98.96,21.19,1094.38,986.74,107.64,1005.48,32.96,3.13,0.00,0.00
2007-01-04 14:00:00,994.50,877.88,96.35,20.27,1047.20,942.40,104.80,998.03,32.49,3.29,0.00,0.00
2007-01-04 15:00:00,870.84,762.29,90.33,18.22,941.00,842.74,98.26,982.96,31.62,3.29,0.00,0.00
2007-01-04 16:00:00,688.44,592.09,81.18,15.17,783.48,695.18,88.30,956.95,30.70,3.00,0.00,0.00
2007-01-04 17:00:00,463.57,383.21,69.01,11.35,586.50,511.44,75.06,912.24,29.56,2.62,0.00,0.00
2007-01-04 18:00:00,220.78,159.95,53.74,7.09,366.06,307.60,58.46,829.01,27.51,1.56,0.00,0.00
2007-01-04 19:00:00,36.14,0.00,33.34,2.81,145.00,108.74,36.26,636.93,25.08,0.92,0.00,0.00
2007-01-04 20:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23.35,0.34,1.00,0.00
2007-01-04 21:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.15,0.26,1.00,0.00
2007-01-04 22:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21.05,0.49,1.00,0.00
2007-01-04 23:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.86,0.48,1.00,0.00
2007-01-05 00:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.89,0.59,1.00,0.00
2007-01-05 01:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.09,0.74,1.00,0.00
2007-01-05 02:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.65,0.89,1.00,0.00
2007-01-05 03:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.18,0.89,1.00,0.00
2007-01-05 04:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.39,0.85,1.00,0.00
2007-01-05 05:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.24,0.51,1.00,0.00
2007-01-05 06:00:00,14.01,0.00,13.72,0.29,14.92,0.00,14.92,0.00,18.60,0.34,1.00,0.00
2007-01-05 07:00:00,86.71,39.24,42.88,4.59,237.10,190.46,46.64,752.56,20.77,0.32,0.00,0.00
2007-01-05 08:00:00,323.72,254.08,60.69,8.95,462.18,396.16,66.02,878.95,23.49,0.82,0.00,0.00
2007-01-05 09:00:00,563.72,476.03,74.61,13.07,675.34,594.18,81.16,940.11,26.13,1.22,0.00,0.00
2007-01-05 10:00:00,773.80,671.68,85.52,16.60,857.54,764.52,93.02,974.32,28.66,1.58,0.00,0.00
2007-01-05 11:00:00,933.10,820.51,93.35,19.25,994.32,892.78,101.54,993.65,30.68,1.96,0.00,0.00
2007-01-05 12:00:00,1024.97,906.51,97.71,20.76,1072.20,965.92,106.28,1000.51,31.85,2.59,0.00,0.00
2007-01-05 13:00:00,1044.53,924.85,98.61,21.07,1088.38,981.12,107.26,1000.03,32.48,3.14,0.00,0.00
2007-01-05 14:00:00,990.09,873.97,95.96,20.16,1041.30,936.92,104.38,992.16,31.93,3.27,0.00,0.00
2007-01-05 15:00:00,867.74,759.59,90.02,18.13,936.28,838.36,97.92,977.44,30.99,3.21,0.00,0.00
2007-01-05 16:00:00,686.41,590.43,80.88,15.09,779.70,691.72,87.98,951.40,29.70,3.03,0.00,0.00
2007-01-05 17:00:00,462.79,382.70,68.78,11.30,583.88,509.06,74.82,907.06,28.72,2.76,0.00,0.00
2007-01-05 18:00:00,222.17,161.38,53.69,7.09,366.32,307.92,58.40,828.43,26.33,1.84,0.00,0.00
2007-01-05 19:00:00,36.24,0.00,33.41,2.83,146.30,109.96,36.34,642.13,23.92,1.19,0.00,0.00
2007-01-05 20:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.19,0.46,1.00,0.00
2007-01-05 21:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.96,0.16,1.00,0.00
2007-01-05 22:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.13,0.44,1.00,0.00
2007-01-05 23:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.19,0.54,1.00,0.00
2007-01-06 00:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.39,0.58,1.00,0.00
2007-01-06 01:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.71,0.52,1.00,0.00
2007-01-06 02:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.85,0.65,1.00,0.00
2007-01-06 03:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.26,0.85,1.00,0.00
2007-01-06 04:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.66,0.80,1.00,0.00
2007-01-06 05:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.23,0.43,1.00,0.00
2007-01-06 06:00:00,13.22,0.00,12.94,0.27,14.08,0.00,14.08,0.00,17.25,0.11,1.00,0.00
2007-01-06 07:00:00,83.88,37.08,42.34,4.46,230.56,184.50,46.06,736.38,19.32,0.46,0.00,0.00
2007-01-06 08:00:00,317.60,248.68,60.14,8.77,453.26,387.84,65.42,864.97,21.44,0.92,0.00,0.00
2007-01-06 09:00:00,554.61,467.86,73.90,12.85,663.82,583.44,80.38,926.10,24.02,1.39,0.00,0.00
2007-01-06 10:00:00,761.97,661.01,84.63,16.33,843.68,751.62,92.06,959.74,26.20,1.75,0.00,0.00
2007-01-06 11:00:00,919.10,807.84,92.32,18.94,978.44,878.02,100.42,978.47,27.77,2.32,0.00,0.00
2007-01-06 12:00:00,1009.88,892.77,96.68,20.43,1055.32,950.16,105.16,984.93,28.50,2.87,0.00,0.00
2007-01-06 13:00:00,1028.92,910.63,97.56,20.73,1070.86,964.74,106.12,983.67,28.84,3.37,0.00,0.00
2007-01-06 14:00:00,974.84,860.05,94.97,19.82,1024.02,920.72,103.30,974.95,28.12,3.59,0.00,0.00
2007-01-06 15:00:00,853.70,746.79,89.10,17.81,919.76,822.84,96.92,959.05,27.18,3.51,0.00,0.00
2007-01-06 16:00:00,674.77,579.91,80.06,14.81,764.92,677.84,87.08,931.70,26.05,3.15,0.00,0.00
2007-01-06 17:00:00,454.53,375.39,68.07,11.06,571.54,497.50,74.04,885.55,25.15,2.89,0.00,0.00
2007-01-06 18:00:00,219.21,159.07,53.19,6.95,358.84,300.98,57.86,808.70,23.33,2.18,0.00,0.00
2007-01-06 19:00:00,35.91,0.00,33.13,2.77,143.24,107.20,36.04,624.76,22.03,1.36,0.00,0.00
2007-01-06 20:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.76,0.69,1.00,0.00
2007-01-06 21:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.73,0.48,1.00,0.00
2007-01-06 22:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.23,0.61,1.00,0.00
2007-01-06 23:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.60,0.75,1.00,0.00
2007-01-07 00:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.09,0.82,1.00,0.00
2007-01-07 01:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.36,0.77,1.00,0.00
2007-01-07 02:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.18,0.94,1.00,0.00
2007-01-07 03:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.55,0.82,1.00,0.00
2007-01-07 04:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.22,0.34,1.00,0.00
2007-01-07 05:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.75,0.35,1.00,0.00
2007-01-07 06:00:00,12.28,0.00,12.02,0.25,13.08,0.00,13.08,0.00,16.20,0.50,1.00,0.00
2007-01-07 07:00:00,80.03,34.29,41.48,4.26,219.98,174.86,45.12,705.04,18.44,0.79,0.00,0.00
2007-01-07 08:00:00,307.71,240.05,59.17,8.49,438.68,374.32,64.36,838.91,20.73,1.20,0.00,0.00
2007-01-07 09:00:00,540.92,455.48,72.92,12.52,646.70,567.38,79.32,903.33,23.45,1.82,0.00,0.00
2007-01-07 10:00:00,746.19,646.52,83.70,15.98,825.32,734.28,91.04,939.42,25.44,2.20,0.00,0.00
2007-01-07 11:00:00,902.95,792.89,91.47,18.59,960.22,860.72,99.50,960.44,26.91,2.88,0.00,0.00
2007-01-07 12:00:00,996.33,880.18,96.02,20.13,1040.04,935.60,104.44,970.58,28.12,3.32,0.00,0.00
2007-01-07 13:00:00,1018.92,901.30,97.12,20.51,1059.24,953.60,105.64,972.66,29.32,3.58,0.00,0.00
2007-01-07 14:00:00,968.86,854.43,94.75,19.68,1016.40,913.34,103.06,967.14,28.71,3.62,0.00,0.00
2007-01-07 15:00:00,851.26,744.49,89.05,17.73,915.68,818.82,96.86,954.06,27.76,3.53,0.00,0.00
2007-01-07 16:00:00,675.37,580.41,80.17,14.79,764.02,676.82,87.20,929.68,26.66,3.18,0.00,0.00
2007-01-07 17:00:00,457.02,377.62,68.31,11.09,572.92,498.62,74.30,886.64,24.99,2.60,0.00,0.00
2007-01-07 18:00:00,219.53,159.47,53.16,6.91,357.06,299.24,57.82,802.98,23.33,1.90,0.00,0.00
2007-01-07 19:00:00,35.70,0.00,32.97,2.73,140.92,105.06,35.86,611.07,21.37,0.99,0.00,0.00
2007-01-07 20:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.75,0.66,1.00,0.00
2007-01-07 21:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.22,0.33,1.00,0.00
2007-01-07 22:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.36,0.61,1.00,0.00
2007-01-07 23:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.61,0.68,1.00,0.00
2007-01-08 00:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.82,0.50,1.00,0.00
2007-01-08 01:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.93,0.58,1.00,0.00
2007-01-08 02:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.65,0.44,1.00,0.00
2007-01-08 03:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.60,0.29,1.00,0.00
2007-01-08 04:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.90,0.17,1.00,0.00
2007-01-08 05:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.20,0.27,1.00,0.00
2007-01-08 06:00:00,11.98,0.00,11.73,0.25,12.76,0.00,12.76,0.00,19.24,0.30,1.00,0.00
2007-01-08 07:00:00,80.80,34.47,41.96,4.37,225.92,180.28,45.64,734.41,21.34,0.70,0.00,0.00
2007-01-08 08:00:00,315.81,247.09,60.00,8.72,450.44,385.18,65.26,867.81,23.35,1.00,0.00,0.00
2007-01-08 09:00:00,556.90,469.92,74.10,12.88,665.34,584.74,80.60,934.00,25.76,1.48,0.00,0.00
2007-01-08 10:00:00,770.17,668.49,85.20,16.47,850.94,758.26,92.68,972.14,28.17,1.88,0.00,0.00
2007-01-08 11:00:00,933.90,821.44,93.26,19.21,992.02,890.58,101.44,995.05,30.02,2.48,0.00,0.00
2007-01-08 12:00:00,1028.86,910.31,97.78,20.77,1072.74,966.38,106.36,1003.29,31.39,2.83,0.00,0.00
2007-01-08 13:00:00,1051.11,931.15,98.83,21.13,1091.30,983.80,107.50,1003.85,32.37,3.29,0.00,0.00
2007-01-08 14:00:00,998.88,882.29,96.33,20.26,1046.42,941.64,104.78,997.16,31.90,3.37,0.00,0.00
2007-01-08 15:00:00,876.23,767.64,90.37,18.22,941.02,842.72,98.30,981.60,31.13,3.36,0.00,0.00
2007-01-08 16:00:00,694.23,597.83,81.23,15.17,783.84,695.48,88.36,954.84,29.86,3.14,0.00,0.00
2007-01-08 17:00:00,469.58,389.12,69.10,11.37,587.12,511.96,75.16,909.66,28.70,2.70,0.00,0.00
2007-01-08 18:00:00,225.53,164.75,53.71,7.07,365.02,306.60,58.42,822.01,26.58,1.73,0.00,0.00
2007-01-08 19:00:00,36.07,0.00,33.28,2.79,143.94,107.74,36.20,626.03,24.22,1.05,0.00,0.00
2007-01-08 20:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.48,0.49,1.00,0.00
2007-01-08 21:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21.06,0.39,1.00,0.00
2007-01-08 22:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.72,0.79,1.00,0.00
2007-01-08 23:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.77,0.73,1.00,0.00
2007-01-09 00:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.89,0.52,1.00,0.00
2007-01-09 01:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.30,0.60,1.00,0.00
2007-01-09 02:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.21,0.46,1.00,0.00
2007-01-09 03:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.87,0.61,1.00,0.00
2007-01-09 04:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.06,0.70,1.00,0.00
2007-01-09 05:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.80,0.46,1.00,0.00
2007-01-09 06:00:00,11.38,0.00,11.14,0.23,12.12,0.00,12.12,0.00,17.47,0.31,1.00,0.00
2007-01-09 07:00:00,80.83,34.28,42.11,4.44,229.58,183.78,45.80,756.49,19.50,0.29,0.00,0.00
2007-01-09 08:00:00,322.13,252.76,60.47,8.90,459.66,393.88,65.78,892.13,22.05,0.79,0.00,0.00
2007-01-09 09:00:00,566.68,478.92,74.67,13.09,676.32,595.10,81.22,953.45,23.79,1.30,0.00,0.00
